Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 16:43:41,,
Header Version:,1,,
System Temp (C):,30.2,,
Detector Temp (C):,29.36,,
Humidity (%):,32.03,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.513,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1631.102301,0.053345,89180.000000,78872.000000
1634.131061,0.057720,86957.000000,76135.000000
1637.155422,0.069029,84664.000000,72222.000000
1640.175383,0.080781,82560.000000,68547.000000
1643.190945,0.097900,80299.000000,64093.000000
1646.202108,0.113238,77863.000000,59992.000000
1649.208872,0.130558,75323.000000,55766.000000
1652.211237,0.146589,72646.000000,51835.000000
1655.209203,0.157863,69695.000000,48455.000000
1658.202769,0.167690,66120.000000,44941.000000
1661.191937,0.161988,61928.000000,42648.000000
1664.176705,0.147797,57108.000000,40635.000000
1668.149553,0.110579,49420.000000,38311.000000
1671.124056,0.081408,43252.000000,35859.000000
1674.094160,0.053139,37007.000000,32745.000000
1677.059866,0.028773,31448.000000,29432.000000
1680.021172,0.010245,26509.000000,25891.000000
1682.978078,0.002048,22318.000000,22213.000000
1685.930586,-0.000963,18913.000000,18955.000000
1688.878695,-0.010008,16215.000000,16593.000000
1691.822404,-0.013550,13947.000000,14389.000000
1694.761714,-0.010590,12072.000000,12370.000000
1697.696625,-0.008235,10552.000000,10754.000000
1700.627137,-0.006536,9233.000000,9373.000000
