Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 21:3:31,,
Header Version:,1,,
System Temp (C):,30.25,,
Detector Temp (C):,28.92,,
Humidity (%):,36.71,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.451,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1548.712576,0.235589,144932.000000,84251.000000
1551.858646,0.233505,143312.000000,83710.000000
1555.000318,0.233156,141623.000000,82790.000000
1558.137590,0.232399,139790.000000,81861.000000
1561.270463,0.230678,137958.000000,81109.000000
1564.398937,0.228877,136203.000000,80410.000000
1567.523012,0.227620,134303.000000,79518.000000
1570.642687,0.227807,132340.000000,78322.000000
1573.757964,0.227014,130373.000000,77299.000000
1576.868841,0.226997,128194.000000,76010.000000
1581.009834,0.225591,125453.000000,74626.000000
1584.110447,0.226648,123268.000000,73148.000000
1587.206660,0.225147,121128.000000,72127.000000
1590.298475,0.223750,118983.000000,71078.000000
1593.385890,0.220427,116601.000000,70190.000000
1596.468906,0.216334,114492.000000,69573.000000
1599.547522,0.212164,112247.000000,68867.000000
1602.621740,0.210897,110113.000000,67755.000000
1605.691559,0.204437,107845.000000,67354.000000
1608.756978,0.200017,105764.000000,66730.000000
1611.817998,0.196745,103762.000000,65962.000000
1614.874619,0.190579,101454.000000,65417.000000
1617.926841,0.187111,99141.000000,64438.000000
1620.974664,0.183249,96810.000000,63485.000000
1625.031584,0.178302,93749.000000,62182.000000
1628.069142,0.174788,91480.000000,61170.000000
1631.102301,0.173138,89180.000000,59859.000000
1634.131061,0.168283,86957.000000,59023.000000
1637.155422,0.166922,84664.000000,57647.000000
1640.175383,0.162513,82560.000000,56788.000000
1643.190945,0.160895,80299.000000,55439.000000
